Модификация страниц портала (П),72,"модификация 9, страниц 9, портала 9, www.kpfu.ru 10, kpfu.ru 10, сайта 8, веб-страницы 8, изменение 8, контент 8, внесение 8, обновление 8"
Модификация функционала портала (П),73,"модификация 9, функционала 9, портала 9, улучшение 8, обновление 8, добавление 8, возможностей 8, изменение 8, внесение 8, разработка 8, www.kpfu.ru 10, kpfu.ru 10"
Создание/редактирование алиасов страниц портала (П),74,"создание 9, редактирование 9, алиасов 9, страниц 9, портала 9, www.kpfu.ru 9, ссылки 8, роутинг 8, настройка 8, kpfu.ru 10"
Создание разделов портала (П),75,"cоздание 9, разделов 9, портала 9, www.kpfu.ru 9, kpfu.ru 9, веб-страницы 8, структура 8, навигация 8, меню 8, добавление 8, разработка 8"
Удаление страниц портала (П),76,"удаление 9, страниц 9, портала 9, www.kpfu.ru 9, kpfu.ru 9, веб-страницы 8, удалить 9, контент 8, секции 8, обновление 8, очистка 8"
Предоставление доменного имени *.kpfu.ru (П),77,"предоставление 9, доменного 9, имени 9, *.kpfu.ru 9, домена 9, www.kpfu.ru 9, регистрация 8, поддомена 10, поддомен 10"
Создание каталога на сервере для размещения сайта (П),78,"создание 9, каталога 9, каталог 9, сервере 9, размещения 8, сайта 8, директории 8, директория 8, хранение 8, файлов 8"
Обучение операторов работе в редакторе портала,79,
Прикладное программное обеспечение (ПО),,
Ошибка при работе с ПО,80,
Установка и настройка ПО,81,
Дополнительная настройка ПО,82,
Установка и настройка серверного ПО,83,
Подключение и настройка Консультант Плюс (П),84,
Закупка ПО (П),85,
Программный продукт Парус,,
Ошибка подключения к ПП Парус (ORA-20103: Работа в Системе невозможна),86,
Ошибка при работе в ПП Парус,87,
Открытие и настройка доступа к ПП Парус (П),88,
"Разработка нового модуля, процедуры или отчета в ПП Парус (П)",89,
Модификация правил и процедур или отчета в ПП Парус,90,
Выгрузка-загрузка данных ПП Парус (П),91,
Настройка и корректировка данных в справочниках ПП Парус,92,
Расчет стипендии в ПП Парус,93,
Программный комплекс Бюджет-СМАРТ,,
Регистрация и настройка пользователей для доступа к Бюджет-СМАРТ (П),94,
Ошибка при работе в Бюджет-СМАРТ,95,
Ошибка при открытии Бюджет-СМАРТ,96,
Система открытого электронного обучения КФУ (LMS Moodle),,
Ошибка системы edu.kpfu.ru,97,
Ошибка системы do.kpfu.ru,98,
Настройка прав доступа пользователей edu.kpfu.ru,99,
Настройка прав доступа пользователей do.kpfu.ru,100,
Перенос курсов edu.kpfu.ru,101,
Перенос курсов do.kpfu.ru,102,
Модификация площадки edu.kpfu.ru,103,
Модификация площадки do.kpfu.ru,104,
Системное программное обеспечение,,
Ошибки при загрузке ОС,105,
Ошибки при работе ОС,106,
Установка ОС,107,
Дополнительная настройка ОС,108,
Телефония,,
Не работает устройство связи,109,
Отсутствует доступ,110,
Установка и настройка устройств связи,111,
Выделение нового номера (П),112,
Перенос номера,113,
Открытие доступа к внутризоновой связи (П),114,
Открытие доступа к междугородней связи (П),115,
Открытие доступа к международной связи (П),116,
Открытие доступа к корпоративной мобильной связи (П),117,
Закупка телефонного оборудования (П),118,
Учетные записи,,
Предоставление персональных учетных данных (П),119,
Восстановление персональных учетных данных,120,
Предоставление персональных учетных данных внешним пользователям (П),121,
Электронная почта,,
Нет доступа к почтовому ящику,122,
Создание почтового ящика подразделения (П),123,
Удаление почтового ящика,124,
Настройка почтового ящика,125,
Создание алиаса для почтового ящика,126,
Увеличение размера почтового ящика (П),127,
Электронные подписи и доступ к ГИС,,
Оформление ЭЦП,128,
Установка ЭЦП (П),129,
Настройка доступа сотрудников к государственным информационным системам,130,
Предоставление информации по запросу,131,
Формирование отчетов,132,
Ошибка входа в Антиплагиат,133,
"Проблема с документооборотом ""ДиаДок""",134,
Устранение либо обнаружение уязвимости программного обеспечения,135,
